FirstName1 LastName1  full 125173.57
FirstName735 LastName735  associate 62441.77
FirstName736 LastName736  associate 95429.39
FirstName737 LastName737  full 103425.74
FirstName738 LastName738  associate 100646.92
FirstName739 LastName739  associate 63455.67
FirstName740 LastName740  associate 85144.04
FirstName741 LastName741  full 83227.38
FirstName742 LastName742  assistant 62533.11
FirstName743 LastName743  full 128010.03
FirstName744 LastName744  associate 100864.15
FirstName745 LastName745  assistant 68933.75
FirstName746 LastName746  assistant 55629.65
FirstName747 LastName747  associate 83075.18
FirstName748 LastName748  assistant 68564.67
FirstName749 LastName749  full 127387.62
FirstName750 LastName750  associate 81930.93
FirstName751 LastName751  associate 60811.91
FirstName752 LastName752  assistant 76897.07
FirstName753 LastName753  associate 104678.67
FirstName754 LastName754  assistant 65763.60
FirstName755 LastName755  associate 69441.96
FirstName756 LastName756  associate 68931.44
FirstName757 LastName757  associate 83445.03
FirstName758 LastName758  associate 91942.02
FirstName759 LastName759  full 124972.97
FirstName760 LastName760  associate 66303.63
FirstName761 LastName761  assistant 66124.99
FirstName762 LastName762  associate 109685.27
FirstName763 LastName763  associate 97217.87
FirstName764 LastName764  assistant 61840.13
FirstName765 LastName765  associate 101497.76
FirstName766 LastName766  full 114874.86
FirstName767 LastName767  assistant 66916.33
FirstName768 LastName768  associate 70319.61
FirstName769 LastName769  associate 104858.38
FirstName770 LastName770  full 78169.95
FirstName771 LastName771  assistant 56307.10
FirstName772 LastName772  associate 76093.26
FirstName773 LastName773  assistant 72029.43
FirstName774 LastName774  full 106171.15
FirstName775 LastName775  full 79093.80
FirstName776 LastName776  assistant 60650.20
FirstName777 LastName777  full 79624.93
FirstName778 LastName778  associate 89732.68
FirstName779 LastName779  assistant 70784.91
FirstName780 LastName780  associate 91077.15
FirstName781 LastName781  assistant 70198.65
FirstName782 LastName782  full 82766.02
FirstName783 LastName783  assistant 72453.60
FirstName784 LastName784  full 127946.55
FirstName785 LastName785  full 123733.32
FirstName786 LastName786  full 118650.69
FirstName787 LastName787  full 80787.55
FirstName788 LastName788  assistant 57055.62
FirstName789 LastName789  assistant 68859.56
FirstName790 LastName790  assistant 65373.90
FirstName791 LastName791  associate 97691.36
FirstName792 LastName792  associate 80490.01
FirstName793 LastName793  associate 79430.18
FirstName794 LastName794  assistant 60191.58
FirstName795 LastName795  full 118884.22
FirstName796 LastName796  associate 83426.98
FirstName797 LastName797  assistant 72291.71
FirstName798 LastName798  associate 77311.27
FirstName799 LastName799  assistant 75804.15
FirstName800 LastName800  full 104874.39
FirstName801 LastName801  assistant 74583.44
FirstName802 LastName802  assistant 61516.87
FirstName803 LastName803  associate 86823.74
FirstName804 LastName804  associate 109285.78
FirstName805 LastName805  full 100470.74
FirstName806 LastName806  full 100285.98
FirstName807 LastName807  full 117779.74
FirstName808 LastName808  associate 75626.23
FirstName809 LastName809  associate 65761.17
FirstName810 LastName810  assistant 73941.37
FirstName811 LastName811  assistant 59830.92
FirstName812 LastName812  full 86743.06
FirstName813 LastName813  full 111035.71
FirstName814 LastName814  full 124869.56
FirstName815 LastName815  assistant 67861.13
FirstName816 LastName816  associate 63378.48
FirstName817 LastName817  full 114122.50
FirstName818 LastName818  associate 70744.44
FirstName819 LastName819  associate 89632.68
FirstName820 LastName820  full 111080.20
FirstName821 LastName821  assistant 55814.07
FirstName822 LastName822  assistant 52923.44
FirstName823 LastName823  full 119766.83
FirstName824 LastName824  assistant 50450.45
FirstName825 LastName825  associate 62691.29
FirstName826 LastName826  full 94436.31
FirstName827 LastName827  associate 69392.00
FirstName828 LastName828  associate 90951.73
FirstName829 LastName829  full 103746.07
FirstName830 LastName830  associate 82711.54
FirstName831 LastName831  full 101385.97
FirstName832 LastName832  full 93468.23
FirstName833 LastName833  full 93407.11
FirstName834 LastName834  full 82091.13
FirstName835 LastName835  assistant 73216.87
FirstName836 LastName836  assistant 75353.97
FirstName837 LastName837  associate 94419.49
FirstName838 LastName838  associate 65084.28
FirstName839 LastName839  full 125273.26
FirstName840 LastName840  full 100431.36
FirstName841 LastName841  assistant 78471.35
FirstName842 LastName842  full 77694.83
FirstName843 LastName843  assistant 50953.35
FirstName844 LastName844  associate 87917.17
FirstName845 LastName845  full 94081.78
FirstName846 LastName846  full 80086.91
FirstName847 LastName847  full 104746.53
FirstName848 LastName848  full 75904.97
FirstName849 LastName849  full 84654.28
FirstName850 LastName850  associate 79690.89
FirstName851 LastName851  assistant 56810.86
FirstName852 LastName852  full 98072.87
FirstName853 LastName853  assistant 57278.75
FirstName854 LastName854  full 111744.59
FirstName855 LastName855  assistant 59364.93
FirstName856 LastName856  assistant 77194.41
FirstName857 LastName857  assistant 67377.84
FirstName858 LastName858  associate 94110.22
FirstName859 LastName859  full 109163.64
FirstName860 LastName860  assistant 76741.66
FirstName861 LastName861  associate 92988.05
FirstName862 LastName862  full 78002.00
FirstName863 LastName863  assistant 56932.07
FirstName864 LastName864  associate 64273.68
FirstName865 LastName865  full 110038.58
FirstName866 LastName866  assistant 77677.96
FirstName867 LastName867  full 87709.81
FirstName868 LastName868  full 103273.21
FirstName869 LastName869  assistant 60411.40
FirstName870 LastName870  full 91167.92
FirstName871 LastName871  full 100976.19
FirstName872 LastName872  associate 83464.15
FirstName873 LastName873  full 79725.41
FirstName874 LastName874  full 83202.94
FirstName875 LastName875  associate 81806.36
FirstName876 LastName876  full 107487.34
FirstName877 LastName877  full 97801.74
FirstName878 LastName878  full 108560.27
FirstName879 LastName879  assistant 68015.96
FirstName880 LastName880  associate 85721.41
FirstName881 LastName881  assistant 64810.26
FirstName882 LastName882  associate 97160.79
FirstName883 LastName883  full 126288.95
FirstName884 LastName884  assistant 73491.04
FirstName885 LastName885  associate 95174.97
FirstName886 LastName886  assistant 74320.22
FirstName887 LastName887  associate 79316.80
FirstName888 LastName888  full 127613.26
FirstName889 LastName889  full 105387.34
FirstName890 LastName890  full 77178.15
FirstName891 LastName891  assistant 66073.44
FirstName892 LastName892  assistant 53523.54
FirstName893 LastName893  associate 66413.87
FirstName894 LastName894  assistant 56683.25
FirstName895 LastName895  associate 95992.31
FirstName896 LastName896  associate 70452.81
FirstName897 LastName897  full 107731.86
FirstName898 LastName898  associate 95920.62
FirstName899 LastName899  associate 76528.86
FirstName900 LastName900  assistant 77030.65
FirstName901 LastName901  associate 84588.58
FirstName902 LastName902  associate 93282.29
FirstName903 LastName903  associate 66094.62
FirstName904 LastName904  assistant 77639.75
FirstName905 LastName905  full 120846.97
FirstName906 LastName906  assistant 64449.34
FirstName907 LastName907  assistant 70052.43
FirstName908 LastName908  associate 62374.12
FirstName909 LastName909  assistant 58182.12
FirstName910 LastName910  associate 107845.96
FirstName911 LastName911  full 94418.50
FirstName912 LastName912  assistant 55933.86
FirstName913 LastName913  full 120136.03
FirstName914 LastName914  assistant 65458.46
FirstName915 LastName915  associate 85635.85
FirstName916 LastName916  full 92267.43
FirstName917 LastName917  assistant 76586.89
FirstName918 LastName918  assistant 63644.92
FirstName919 LastName919  associate 91008.05
FirstName920 LastName920  full 128732.65
FirstName921 LastName921  associate 91701.32
FirstName922 LastName922  associate 71815.67
FirstName923 LastName923  assistant 68957.96
FirstName924 LastName924  associate 107357.35
FirstName925 LastName925  assistant 77492.52
FirstName926 LastName926  associate 66769.62
FirstName927 LastName927  full 123426.73
FirstName928 LastName928  associate 63508.73
FirstName929 LastName929  full 90566.10
FirstName930 LastName930  assistant 74752.35
FirstName931 LastName931  associate 66994.07
FirstName932 LastName932  full 88207.81
FirstName933 LastName933  assistant 74669.18
FirstName934 LastName934  full 113761.11
FirstName935 LastName935  assistant 72311.84
FirstName936 LastName936  assistant 60835.98
FirstName937 LastName937  full 121093.43
FirstName938 LastName938  full 77336.71
FirstName939 LastName939  full 123630.40
FirstName940 LastName940  assistant 64979.38
FirstName941 LastName941  assistant 68477.62
FirstName942 LastName942  associate 72327.97
FirstName943 LastName943  full 100930.17
FirstName944 LastName944  full 111595.32
FirstName945 LastName945  full 118047.68
FirstName946 LastName946  full 120808.95
FirstName947 LastName947  assistant 55457.76
FirstName948 LastName948  full 125662.08
FirstName949 LastName949  associate 60660.99
FirstName950 LastName950  full 124764.53
FirstName951 LastName951  full 106593.97
FirstName952 LastName952  associate 97465.60
FirstName953 LastName953  full 79858.83
FirstName954 LastName954  assistant 56344.72
FirstName955 LastName955  assistant 62100.27
FirstName956 LastName956  full 123369.07
FirstName957 LastName957  full 105674.82
FirstName958 LastName958  full 80579.26
FirstName959 LastName959  full 102903.20
FirstName960 LastName960  associate 60528.87
FirstName961 LastName961  assistant 65354.50
FirstName962 LastName962  associate 106873.55
FirstName963 LastName963  assistant 77087.46
FirstName964 LastName964  associate 66134.44
FirstName965 LastName965  associate 70829.79
FirstName966 LastName966  associate 99475.03
FirstName967 LastName967  full 127873.04
FirstName968 LastName968  assistant 59528.31
FirstName969 LastName969  associate 90757.01
FirstName970 LastName970  associate 83592.51
FirstName971 LastName971  full 118900.66
FirstName972 LastName972  associate 79072.58
FirstName973 LastName973  assistant 78491.04
FirstName974 LastName974  assistant 57231.52
FirstName975 LastName975  full 88982.06
FirstName976 LastName976  full 103030.08
FirstName977 LastName977  associate 60422.57
FirstName978 LastName978  assistant 71625.35
FirstName979 LastName979  assistant 52892.35
FirstName980 LastName980  assistant 76578.43
FirstName981 LastName981  full 116300.81
FirstName982 LastName982  assistant 76119.46
FirstName983 LastName983  associate 75916.83
FirstName984 LastName984  full 78133.71
FirstName985 LastName985  full 92341.93
FirstName986 LastName986  full 78521.63
FirstName987 LastName987  full 111769.57
FirstName988 LastName988  assistant 58813.77
FirstName989 LastName989  assistant 69878.90
FirstName990 LastName990  assistant 67806.92
FirstName991 LastName991  associate 99296.13
FirstName992 LastName992  associate 79067.59
FirstName993 LastName993  assistant 60819.50
FirstName994 LastName994  associate 68403.61
FirstName995 LastName995  associate 88552.97
FirstName996 LastName996  full 104045.09
FirstName997 LastName997  assistant 57867.47
FirstName998 LastName998  full 87075.59
FirstName999 LastName999  full 111976.26
FirstName1000 LastName1000  assistant 60090.21
